group,var_name,l2_norm,max_abs,nnz,group_size,l2_norm_normed
8,IRPYUD5ALC,0.7639168217663963,0.5401707649334988,2,2,0.540170764933494
11,IRAMDEYR,0.6740028463288718,0.4765919831781815,2,2,0.4765919831781797
0,CATAG6,0.8738576662470128,0.5393503411680942,5,5,0.3908010288775288
10,ILLYR,0.5282374271597536,0.37352026682119677,2,2,0.3735202668211967
4,IREDUHIGHST2,1.0638150355680067,0.5962194407235282,11,11,0.32075230175615116
9,IRPYUD5MRJ,0.4217087734384123,0.2981931333841639,2,2,0.2981931333841627
7,INCOME,0.4686915562999921,0.3510969533142803,4,4,0.23434577814999605
3,IRMARIT,0.3500277882305265,0.2961535205772834,4,4,0.17501389411526325
6,IRINSUR4,0.24246394913389793,0.17144790262585002,2,2,0.17144790262584933
14,IRALCFY,0.16376370998299788,0.16376370998299788,1,1,0.16376370998299788
2,NEWRACE2,0.3936748937525077,0.24118262245826347,7,7,0.1487951237541301
12,RSKCIGPKD,0.21862818761578753,0.16665670046406866,4,4,0.10931409380789377
5,IRWRKSTAT18,0.2102064244780468,0.12258828039268033,4,4,0.1051032122390234
16,KSSLR6YR,0.0912539883279395,0.0912539883279395,1,1,0.0912539883279395
15,IRMJFY,0.08122213439051518,0.08122213439051518,1,1,0.08122213439051518
13,RSKMRJWK,0.13976019148880706,0.09664645648048456,4,4,0.06988009574440353
1,IRSEX,0.08982974970967844,0.06351922517200392,2,2,0.06351922517200392
