,OR,2.5%,97.5%,p-value
IRAMDEYR_1.0,6.165802526635045,5.70615070570903,6.6624810241031325,0.0
IRSEX_2,1.9201380724391568,1.8245980578698053,2.0206807747755713,1.5912855263379937e-138
IRINSUR4_1.0,1.786583580368148,1.61139663239688,1.9808164082441275,3.037543013666119e-28
ILLYR_1.0,1.6514829166286618,1.550203506949782,1.7593792116254476,1.9654443207579273e-54
IREDUHIGHST2_11,1.6296043931885025,1.1999495136725302,2.2131018414029637,0.0017644150712333572
IREDUHIGHST2_2,1.471379963072843,0.929736726532663,2.328572093528224,0.09916613074789452
IRMARIT_3.0,1.4201440146869508,1.3227991415827065,1.524652503204752,3.6100587089012804e-22
IREDUHIGHST2_5,1.3671512679346398,0.9429082783525126,1.9822740263571177,0.09897737574807174
IRWRKSTAT18_4.0,1.359876818658817,1.2755193128943396,1.4498133765841406,5.066966944698313e-21
IRWRKSTAT18_2.0,1.330409195392996,1.2323756687659457,1.4362411333214962,2.6674290229383246e-13
IREDUHIGHST2_6,1.3215805647918017,0.9189636997908881,1.9005921448614933,0.13255678062501666
IREDUHIGHST2_3,1.303187241641459,0.6545139172791442,2.5947454163190335,0.45105619371797767
IREDUHIGHST2_10,1.2491221517363544,0.9142952098343218,1.7065671275267875,0.1623628776484305
IREDUHIGHST2_9,1.2437993269741632,0.9146884338812813,1.6913264762918967,0.1641333863680443
CATAG6_4,1.2331381528476746,1.122391621497932,1.3548120592517952,1.2720993238613398e-05
IRPYUD5MRJ_1,1.1937707862132145,1.0837137370762018,1.3150047298107752,0.0003319055117128939
CATAG6_3,1.1808699181013946,1.0748394440751503,1.297360057972805,0.0005331894726879668
IRMARIT_4.0,1.1792712127238667,1.0998265042144162,1.2644545188084502,3.5874419905408985e-06
IRPYUD5ALC_1,1.1764345635720108,1.0900205266002028,1.269699284180994,2.9879264175515942e-05
RSKMRJWK_2.0,1.1428250647514366,1.0690751858262015,1.2216625602574303,8.766633452971138e-05
IRMARIT_2.0,1.0749204062475297,0.9568402098662292,1.2075724534286578,0.22365663636003263
CATAG6_5,1.0279951636297706,0.929424242635749,1.1370201119881476,0.5913657813460801
IRWRKSTAT18_3.0,1.013788635212081,0.889679137815644,1.1552113039410665,0.837153997713999
NEWRACE2_3,0.969947922783116,0.6858210057817691,1.371785006554097,0.8630189632228903
IREDUHIGHST2_8,0.9215056582181174,0.6781077510639129,1.2522680603424776,0.6013954300560543
NEWRACE2_6,0.9126343280294841,0.7740107318148429,1.0760851012296724,0.2767763038137916
RSKMRJWK_3.0,0.8745710060766978,0.8092487753480588,0.9451660205985903,0.0007147906773981764
IREDUHIGHST2_7,0.8398651810616562,0.602828312131326,1.1701068250524755,0.30232573333958157
IREDUHIGHST2_4,0.7079038249835431,0.4500966273984706,1.113378316835692,0.13488041886052493
CATAG6_6,0.686430914831095,0.6127220069930233,0.769006817868742,8.479351074273161e-11
RSKMRJWK_4.0,0.6686591100859429,0.6144991316123071,0.7275925749932672,9.711745980026498e-21
NEWRACE2_7,0.5921561516378695,0.5498329883295306,0.6377371226631778,1.2880320983747088e-43
NEWRACE2_5,0.45959247500659367,0.40664216887246024,0.5194376266199174,1.4355979957760653e-35
NEWRACE2_2,0.4466400284128379,0.40919928677238593,0.4875065070472227,8.84678515238915e-73
NEWRACE2_4,0.44288255672607846,0.2763959989402952,0.7096519479451573,0.0007097614071479626
const,0.0668830648056813,0.047615691492455245,0.09394685276196758,7.045770236148628e-55
