,OR (95% CI),p-value
IRAMDEYR_1.0,"6.17 (5.71, 6.66)",0.0
IRSEX_2,"1.92 (1.82, 2.02)",1.5912855263379937e-138
IRINSUR4_1.0,"1.79 (1.61, 1.98)",3.037543013666119e-28
ILLYR_1.0,"1.65 (1.55, 1.76)",1.9654443207579273e-54
IREDUHIGHST2_11,"1.63 (1.20, 2.21)",0.0017644150712333572
IREDUHIGHST2_2,"1.47 (0.93, 2.33)",0.09916613074789452
IRMARIT_3.0,"1.42 (1.32, 1.52)",3.6100587089012804e-22
IREDUHIGHST2_5,"1.37 (0.94, 1.98)",0.09897737574807174
IRWRKSTAT18_4.0,"1.36 (1.28, 1.45)",5.066966944698313e-21
IRWRKSTAT18_2.0,"1.33 (1.23, 1.44)",2.6674290229383246e-13
IREDUHIGHST2_6,"1.32 (0.92, 1.90)",0.13255678062501666
IREDUHIGHST2_3,"1.30 (0.65, 2.59)",0.45105619371797767
IREDUHIGHST2_10,"1.25 (0.91, 1.71)",0.1623628776484305
IREDUHIGHST2_9,"1.24 (0.91, 1.69)",0.1641333863680443
CATAG6_4,"1.23 (1.12, 1.35)",1.2720993238613398e-05
IRPYUD5MRJ_1,"1.19 (1.08, 1.32)",0.0003319055117128939
CATAG6_3,"1.18 (1.07, 1.30)",0.0005331894726879668
IRMARIT_4.0,"1.18 (1.10, 1.26)",3.5874419905408985e-06
IRPYUD5ALC_1,"1.18 (1.09, 1.27)",2.9879264175515942e-05
RSKMRJWK_2.0,"1.14 (1.07, 1.22)",8.766633452971138e-05
IRMARIT_2.0,"1.07 (0.96, 1.21)",0.22365663636003263
CATAG6_5,"1.03 (0.93, 1.14)",0.5913657813460801
IRWRKSTAT18_3.0,"1.01 (0.89, 1.16)",0.837153997713999
NEWRACE2_3,"0.97 (0.69, 1.37)",0.8630189632228903
IREDUHIGHST2_8,"0.92 (0.68, 1.25)",0.6013954300560543
NEWRACE2_6,"0.91 (0.77, 1.08)",0.2767763038137916
RSKMRJWK_3.0,"0.87 (0.81, 0.95)",0.0007147906773981764
IREDUHIGHST2_7,"0.84 (0.60, 1.17)",0.30232573333958157
IREDUHIGHST2_4,"0.71 (0.45, 1.11)",0.13488041886052493
CATAG6_6,"0.69 (0.61, 0.77)",8.479351074273161e-11
RSKMRJWK_4.0,"0.67 (0.61, 0.73)",9.711745980026498e-21
NEWRACE2_7,"0.59 (0.55, 0.64)",1.2880320983747088e-43
NEWRACE2_5,"0.46 (0.41, 0.52)",1.4355979957760653e-35
NEWRACE2_2,"0.45 (0.41, 0.49)",8.84678515238915e-73
NEWRACE2_4,"0.44 (0.28, 0.71)",0.0007097614071479626
const,"0.07 (0.05, 0.09)",7.045770236148628e-55
