,OR,2.5%,97.5%,p-value
POVERTY3_Missing,4.56019144001976,0.40120720222201817,51.83193585373841,0.2211269835280919
IRSEX_2,2.0563776589240583,1.9705797286200402,2.145911182737712,4.721513908009946e-241
IRWRKSTAT18_Missing,1.9622248623472847,1.7170953863304363,2.242348585329474,4.1420017262803324e-23
ILLYR_1.0,1.9188570647040275,1.8222856553878097,2.020546243053737,4.292050874275189e-135
IRINSUR4_1.0,1.667810465047789,1.5283134060572123,1.820040141176903,1.7069361912088267e-30
IREDUHIGHST2_11,1.6318286769819477,1.3215905526956215,2.0148939666595393,5.321264123645486e-06
IRMARIT_Missing,1.5839283831244657,1.3057087111853674,1.921430945030368,3.062789590766409e-06
IRMARIT_3.0,1.4872622627271663,1.3940583537217173,1.5866975957118947,2.751525109766632e-33
IRMARIT_4.0,1.3955734028658229,1.3217290749348687,1.473543375659241,2.9139914058247916e-33
IRPYUD5ALC_1,1.3528085306081983,1.2661656984843643,1.4453802710632444,3.618482859298548e-19
IRPYUD5MRJ_1,1.3280427253621552,1.2241342671205766,1.4407712681190858,8.78862908400017e-12
IREDUHIGHST2_9,1.2736989253378734,1.0308610564001883,1.5737416234075492,0.024988060705104367
IREDUHIGHST2_10,1.2526219248057247,1.0078050117014064,1.5569099858464306,0.042352880923669234
IRWRKSTAT18_2.0,1.2292270705915,1.1499774852040627,1.3139380644542227,1.281015145851203e-09
IREDUHIGHST2_5,1.0894512226244792,0.8562026643721906,1.3862418512190313,0.4858149224178573
INCOME_3,1.086673214662214,0.96321151503666,1.2259598821546134,0.17675085829932824
IRWRKSTAT18_4.0,1.0835658578304195,1.0286278508778388,1.141438049974803,0.002501239921068307
IREDUHIGHST2_6,1.08322502920501,0.8498958418856223,1.380612077466907,0.5183448337708545
KSSLR6YR,1.0674806071960674,1.0598191257693486,1.0751974738260013,1.2367174394167137e-70
IREDUHIGHST2_2,1.0223339069878827,0.7980535031006533,1.3096447961400512,0.8612378581545991
IRWRKSTAT18_3.0,1.0079604210213164,0.9002102623931589,1.1286076739944422,0.8906692143062322
INCOME_4,0.9880219348268114,0.8751041441042438,1.11550990847854,0.845697932554707
POVERTY3_2.0,0.9838778359905552,0.8954231533746684,1.0810705446974465,0.7352436018272505
NEWRACE2_6,0.9797391402242707,0.8599917714769618,1.1161604270223036,0.7582785170023263
IREDUHIGHST2_3,0.9654218899032749,0.7475650523538201,1.246766983782543,0.7873995716205062
IREDUHIGHST2_4,0.9525900052037793,0.7541593257426776,1.2032307856440334,0.683601326275844
INCOME_2,0.936438046616563,0.8513354688053465,1.0300477864285327,0.17671153572375742
POVERTY3_3.0,0.9248736552343272,0.8268894296896326,1.0344687541447595,0.1716687798697486
IRMARIT_2.0,0.9098432716550783,0.821915395863509,1.0071776038533864,0.06844848294290425
IREDUHIGHST2_8,0.8896363015931628,0.7206952809110577,1.0981794526416988,0.27643918813355806
NEWRACE2_3,0.829868164506319,0.6224210429438854,1.1064554745832638,0.2038432376286582
IREDUHIGHST2_7,0.7889135715424688,0.626583923995004,0.9932981034618064,0.0436773643327162
NEWRACE2_7,0.5885321858989486,0.5543505139659763,0.6248215255740763,1.5197278712560324e-67
NEWRACE2_2,0.44348654580698743,0.41184579421023587,0.4775581518052685,8.14115187836748e-103
NEWRACE2_5,0.4372735129916453,0.3951396052184339,0.48390017765582977,1.2459299627579874e-57
NEWRACE2_4,0.4354698778761052,0.29702905454280215,0.6384359093399854,2.0558071473594894e-05
const,0.03840043063199657,0.0300182425104485,0.049123231388696946,2.167919817161303e-148
