,OR (95% CI),p-value
POVERTY3_Missing,"4.56 (0.40, 51.83)",0.2211269835280919
IRSEX_2,"2.06 (1.97, 2.15)",4.721513908009946e-241
IRWRKSTAT18_Missing,"1.96 (1.72, 2.24)",4.1420017262803324e-23
ILLYR_1.0,"1.92 (1.82, 2.02)",4.292050874275189e-135
IRINSUR4_1.0,"1.67 (1.53, 1.82)",1.7069361912088267e-30
IREDUHIGHST2_11,"1.63 (1.32, 2.01)",5.321264123645486e-06
IRMARIT_Missing,"1.58 (1.31, 1.92)",3.062789590766409e-06
IRMARIT_3.0,"1.49 (1.39, 1.59)",2.751525109766632e-33
IRMARIT_4.0,"1.40 (1.32, 1.47)",2.9139914058247916e-33
IRPYUD5ALC_1,"1.35 (1.27, 1.45)",3.618482859298548e-19
IRPYUD5MRJ_1,"1.33 (1.22, 1.44)",8.78862908400017e-12
IREDUHIGHST2_9,"1.27 (1.03, 1.57)",0.024988060705104367
IREDUHIGHST2_10,"1.25 (1.01, 1.56)",0.042352880923669234
IRWRKSTAT18_2.0,"1.23 (1.15, 1.31)",1.281015145851203e-09
IREDUHIGHST2_5,"1.09 (0.86, 1.39)",0.4858149224178573
INCOME_3,"1.09 (0.96, 1.23)",0.17675085829932824
IRWRKSTAT18_4.0,"1.08 (1.03, 1.14)",0.002501239921068307
IREDUHIGHST2_6,"1.08 (0.85, 1.38)",0.5183448337708545
KSSLR6YR,"1.07 (1.06, 1.08)",1.2367174394167137e-70
IREDUHIGHST2_2,"1.02 (0.80, 1.31)",0.8612378581545991
IRWRKSTAT18_3.0,"1.01 (0.90, 1.13)",0.8906692143062322
INCOME_4,"0.99 (0.88, 1.12)",0.845697932554707
POVERTY3_2.0,"0.98 (0.90, 1.08)",0.7352436018272505
NEWRACE2_6,"0.98 (0.86, 1.12)",0.7582785170023263
IREDUHIGHST2_3,"0.97 (0.75, 1.25)",0.7873995716205062
IREDUHIGHST2_4,"0.95 (0.75, 1.20)",0.683601326275844
INCOME_2,"0.94 (0.85, 1.03)",0.17671153572375742
POVERTY3_3.0,"0.92 (0.83, 1.03)",0.1716687798697486
IRMARIT_2.0,"0.91 (0.82, 1.01)",0.06844848294290425
IREDUHIGHST2_8,"0.89 (0.72, 1.10)",0.27643918813355806
NEWRACE2_3,"0.83 (0.62, 1.11)",0.2038432376286582
IREDUHIGHST2_7,"0.79 (0.63, 0.99)",0.0436773643327162
NEWRACE2_7,"0.59 (0.55, 0.62)",1.5197278712560324e-67
NEWRACE2_2,"0.44 (0.41, 0.48)",8.14115187836748e-103
NEWRACE2_5,"0.44 (0.40, 0.48)",1.2459299627579874e-57
NEWRACE2_4,"0.44 (0.30, 0.64)",2.0558071473594894e-05
const,"0.04 (0.03, 0.05)",2.167919817161303e-148
