feature,coef
IRAMDEYR_1.0,0.8610009789099227
IRAMDEYR_0.0,-0.8610009789099096
NEWRACE2_1.0,0.5691558966973684
IREDUHIGHST2_11.0,0.49026586609315026
NEWRACE2_5.0,-0.47986201935506556
IREDUHIGHST2_3.0,-0.4775374777389022
NEWRACE2_6.0,0.4065887021708372
CATAG6_6.0,-0.4002224026100443
IRSEX_1.0,-0.3201558899625506
IRSEX_2.0,0.3201558899625506
IRINSUR4_1.0,0.3107334448788171
IRINSUR4_0.0,-0.31073344487880494
RSKMRJWK_4.0,-0.2842064779954129
NEWRACE2_2.0,-0.2548139187369646
CATAG6_4.0,0.24319113912164314
ILLYR_1.0,0.23980878655830953
ILLYR_0.0,-0.2398087865583028
IREDUHIGHST2_9.0,0.2316765776624582
NEWRACE2_4.0,-0.22229416942768276
IREDUHIGHST2_5.0,-0.20734896866182695
IREDUHIGHST2_10.0,0.1815974970127533
RSKMRJWK_2.0,0.17470498062236584
IRMARIT_3.0,0.17084613790088915
IRPYUD5MRJ_1.0,0.16386635421633777
IRPYUD5MRJ_0.0,-0.16386635421633733
IRWRKSTAT18_1.0,-0.1573770041305882
IRWRKSTAT18_2.0,0.1323757839585029
IRMARIT_1.0,-0.1311824834126406
NEWRACE2_7.0,-0.12313756480958665
IRPYUD5ALC_1.0,0.12262849042826704
IRPYUD5ALC_0.0,-0.1226284904282658
NEWRACE2_3.0,0.10436307346088211
IRWRKSTAT18_4.0,0.09695660014896484
RSKMRJWK_1.0,0.09439799412464182
IREDUHIGHST2_2.0,-0.09397793508399707
CATAG6_3.0,0.08829479815716124
IRALCFY,-0.08255194162586704
IRWRKSTAT18_3.0,-0.07195537997686116
IREDUHIGHST2_7.0,-0.07029198185877494
IRMJFY,-0.06923961956069447
RSKCIGPKD_4.0,0.06002937500850336
IREDUHIGHST2_8.0,-0.05413410506348641
KSSLR6YR,0.048254793840889626
INCOME_3.0,0.046435721062230595
IREDUHIGHST2_6.0,-0.04631602002007539
IREDUHIGHST2_4.0,0.037961333717973
INCOME_4.0,-0.037586913055097954
RSKCIGPKD_1.0,-0.03702781806840861
CATAG6_5.0,0.03441783453283459
CATAG6_2.0,0.034318630798350125
RSKCIGPKD_2.0,-0.03128595089259509
INCOME_2.0,-0.030636587812569886
IRMARIT_2.0,-0.02306272841920879
INCOME_1.0,0.02178777980543754
IRMARIT_4.0,-0.01660092606905586
RSKMRJWK_3.0,0.015103503248358047
RSKCIGPKD_3.0,0.008284393952493798
IREDUHIGHST2_1.0,0.008105213940704781
