feature,coef
CATAG6_6.0,-1.25
CATAG6_5.0,-0.88
NEWRACE2_2.0,-0.84
CATAG6_2.0,-0.82
NEWRACE2_5.0,-0.81
IRSEX_2.0,0.73
NEWRACE2_4.0,-0.65
CATAG6_3.0,-0.64
CATAG6_4.0,-0.64
IRINSUR4_1.0,0.57
ILLYR_1.0,0.57
RSKMRJWK_4.0,-0.56
NEWRACE2_7.0,-0.55
IRPYUD5ALC_1.0,0.42
RSKCIGPKD_4.0,0.42
RSKCIGPKD_3.0,0.41
IREDUHIGHST2_11.0,0.36
IRMARIT_3.0,0.33
IREDUHIGHST2_7.0,-0.33
IRPYUD5MRJ_1.0,0.32
NEWRACE2_3.0,-0.29
IRWRKSTAT18_4.0,0.27
IRWRKSTAT18_2.0,0.26
IREDUHIGHST2_8.0,-0.25
RSKCIGPKD_2.0,0.24
KSSLR6YR,0.20
IRMARIT_4.0,0.18
RSKMRJWK_3.0,-0.17
IREDUHIGHST2_9.0,0.13
IRWRKSTAT18_3.0,0.13
IRALCFY,-0.12
IREDUHIGHST2_6.0,-0.11
IREDUHIGHST2_4.0,-0.10
IREDUHIGHST2_2.0,0.08
IREDUHIGHST2_10.0,0.07
INCOME_3.0,0.07
INCOME_4.0,-0.07
NEWRACE2_6.0,-0.07
RSKMRJWK_2.0,0.04
IREDUHIGHST2_3.0,-0.04
IRMJFY,-0.03
INCOME_2.0,-0.02
IREDUHIGHST2_5.0,-0.01
IRMARIT_2.0,0.00
