,OR (95% CI),p-value
IREDUHIGHST2_3,"5.15 (2.03, 13.07)",0.0005723817219668925
IREDUHIGHST2_5,"4.47 (2.25, 8.90)",1.9681792099612342e-05
IRAMDEYR_1.0,"2.93 (2.60, 3.30)",2.918656127325812e-70
CATAG6_4,"2.68 (2.24, 3.19)",6.352096386936756e-28
IREDUHIGHST2_7,"2.65 (1.37, 5.16)",0.003961128175129702
IREDUHIGHST2_4,"2.49 (1.16, 5.35)",0.019890904536829596
IREDUHIGHST2_6,"2.46 (1.21, 4.99)",0.012895206386608606
ILLYR_1.0,"2.39 (2.13, 2.68)",5.900762780585855e-50
IRPYUD5ALC_1,"2.32 (2.07, 2.60)",4.59003315284346e-47
IRMARIT_2.0,"1.99 (1.58, 2.51)",6.010222257777313e-09
CATAG6_5,"1.93 (1.59, 2.34)",2.5859851332328687e-11
CATAG6_3,"1.83 (1.53, 2.19)",3.2667875322341696e-11
IREDUHIGHST2_8,"1.83 (0.96, 3.48)",0.06686601203455327
IRMARIT_3.0,"1.74 (1.52, 2.01)",6.617759005702388e-15
IRINSUR4_1.0,"1.71 (1.44, 2.04)",1.5526084961577088e-09
IREDUHIGHST2_9,"1.56 (0.81, 2.98)",0.18201427992254204
IRPYUD5MRJ_1,"1.55 (1.35, 1.78)",2.750862111115697e-10
IRMARIT_4.0,"1.51 (1.31, 1.74)",1.2784453258051596e-08
NEWRACE2_4,"1.47 (0.86, 2.49)",0.15883928869360087
IRWRKSTAT18_4.0,"1.46 (1.28, 1.66)",1.3685053018900523e-08
NEWRACE2_3,"1.40 (0.85, 2.33)",0.18800490298243577
IRWRKSTAT18_3.0,"1.40 (1.15, 1.71)",0.0010220796160406707
IREDUHIGHST2_2,"1.40 (0.54, 3.60)",0.4903859379001344
IRWRKSTAT18_2.0,"1.33 (1.14, 1.56)",0.0002670444650641923
IREDUHIGHST2_10,"1.20 (0.62, 2.32)",0.5981529383206301
IREDUHIGHST2_11,"1.07 (0.56, 2.05)",0.8388513322183359
IRSEX_2,"0.88 (0.79, 0.97)",0.008099719493202673
CATAG6_6,"0.87 (0.68, 1.12)",0.28042117025617286
NEWRACE2_7,"0.84 (0.74, 0.96)",0.009161552705842759
NEWRACE2_6,"0.72 (0.53, 0.98)",0.03397669613444451
INCOME_2,"0.69 (0.61, 0.79)",6.719666702994382e-08
NEWRACE2_5,"0.68 (0.52, 0.89)",0.004914648968464453
INCOME_3,"0.63 (0.53, 0.75)",8.78708542870298e-08
NEWRACE2_2,"0.62 (0.53, 0.73)",1.3481395574049778e-08
INCOME_4,"0.54 (0.46, 0.63)",4.955244458338894e-15
const,"0.01 (0.00, 0.01)",1.0265671309615405e-48
