,OR,2.5%,97.5%,p-value
IREDUHIGHST2_3,2.8869754471785414,1.5985140823817054,5.213984239784466,0.00043938137452471975
ILLYR_1.0,2.747493361552758,2.480060744118155,3.043764064924386,2.301527563399689e-83
IREDUHIGHST2_5,2.660744945714188,1.6305481157317794,4.341830576993635,8.972048048705973e-05
IRPYUD5ALC_1,2.4477533534030513,2.205162551572083,2.7170316650010604,2.0441682816166556e-63
IREDUHIGHST2_4,2.0595510631197937,1.2228183589992285,3.4688312866592717,0.006603036000576811
IREDUHIGHST2_6,1.8865777114938729,1.1490044639257755,3.097616739751307,0.012108646144035303
IRMARIT_3.0,1.8679782517088683,1.6435728084340593,2.1230229235672544,1.0782224634635374e-21
IRPYUD5MRJ_1,1.5283011231632133,1.3545315785522436,1.7243631378150648,5.676984714675969e-12
IRINSUR4_1.0,1.522592196721099,1.3016188793998154,1.781079726336605,1.4810671515773902e-07
IRMARIT_2.0,1.4713200452311923,1.2060824634039848,1.7948877802180683,0.00014039231266423807
IREDUHIGHST2_7,1.468314058205308,0.9164931928844626,2.352386455526167,0.11018985099184973
IREDUHIGHST2_2,1.388007960065549,0.7677551361518968,2.5093496695594424,0.2778278109559835
NEWRACE2_4,1.3846118109463295,0.8600172716227145,2.2291992617714764,0.1804688175678706
NEWRACE2_3,1.3141553883508448,0.849583990397331,2.032764746336474,0.21962439734306705
IRMARIT_4.0,1.3071100233127169,1.1600514114184584,1.4728111152896661,1.0927541812546996e-05
IRWRKSTAT18_3.0,1.292355921358356,1.0769096716850275,1.5509042878746637,0.005846356068563981
IREDUHIGHST2_8,1.218122522170884,0.7766708081472021,1.9104908584883076,0.39018177844162527
IRWRKSTAT18_4.0,1.1825008821025802,1.058406349665345,1.3211450749662528,0.0030419089195568945
IRMARIT_Missing,1.121905740026459,0.761475411531296,1.6529391106315272,0.560719562691124
IRWRKSTAT18_2.0,1.1148763287529446,0.9675106514408625,1.2846879014330075,0.13274902918828407
KSSLR6YR,1.0770849298488323,1.0634945815272991,1.090848948606218,2.0489656112936716e-30
IREDUHIGHST2_9,1.0331029858011653,0.6553291557834022,1.6286499232517662,0.8884793313508161
IRSEX_2,0.9768092544563478,0.896695264798304,1.064080916950294,0.5909898361564296
INCOME_3,0.8821403176353784,0.7124047111202837,1.0923166675500247,0.2500920427914849
IREDUHIGHST2_10,0.846845370637465,0.5278087288058876,1.358725315878304,0.4907293428680265
INCOME_2,0.8429438167077652,0.7230119964589036,0.9827696934572824,0.02911518774783061
NEWRACE2_7,0.8215843879642915,0.7319129482717954,0.9222420619015994,0.000859997037173418
IRWRKSTAT18_Missing,0.7954689483485285,0.6247201463095895,1.0128868926745558,0.06343932514700303
IREDUHIGHST2_11,0.7726906512156905,0.4882078078641395,1.2229440677898327,0.27097426790445345
NEWRACE2_6,0.7629205525016906,0.5883719645605964,0.9892513656121692,0.04120178019378865
INCOME_4,0.7560664784423051,0.6070476001359564,0.9416667155856031,0.012539359497830882
POVERTY3_2.0,0.7512196781365934,0.6425079219183079,0.8783253646659306,0.00033495124121446566
POVERTY3_3.0,0.6661372070110749,0.545803152585353,0.813001494151545,6.428259233948563e-05
NEWRACE2_5,0.6509013750612033,0.5131411070053751,0.8256454107312967,0.000401626430100057
NEWRACE2_2,0.6231532017158876,0.5401561735060705,0.7189030355577296,8.847424701006439e-11
POVERTY3_Missing,0.3820677969780986,0.0019713669523824607,74.04801085423547,0.7203072666704253
const,0.008405995993679383,0.005102061771648367,0.013849453771494588,1.6395857236073948e-78
