,OR (95% CI),p-value
IREDUHIGHST2_3,"2.89 (1.60, 5.21)",0.00043938137452471975
ILLYR_1.0,"2.75 (2.48, 3.04)",2.301527563399689e-83
IREDUHIGHST2_5,"2.66 (1.63, 4.34)",8.972048048705973e-05
IRPYUD5ALC_1,"2.45 (2.21, 2.72)",2.0441682816166556e-63
IREDUHIGHST2_4,"2.06 (1.22, 3.47)",0.006603036000576811
IREDUHIGHST2_6,"1.89 (1.15, 3.10)",0.012108646144035303
IRMARIT_3.0,"1.87 (1.64, 2.12)",1.0782224634635374e-21
IRPYUD5MRJ_1,"1.53 (1.35, 1.72)",5.676984714675969e-12
IRINSUR4_1.0,"1.52 (1.30, 1.78)",1.4810671515773902e-07
IRMARIT_2.0,"1.47 (1.21, 1.79)",0.00014039231266423807
IREDUHIGHST2_7,"1.47 (0.92, 2.35)",0.11018985099184973
IREDUHIGHST2_2,"1.39 (0.77, 2.51)",0.2778278109559835
NEWRACE2_4,"1.38 (0.86, 2.23)",0.1804688175678706
NEWRACE2_3,"1.31 (0.85, 2.03)",0.21962439734306705
IRMARIT_4.0,"1.31 (1.16, 1.47)",1.0927541812546996e-05
IRWRKSTAT18_3.0,"1.29 (1.08, 1.55)",0.005846356068563981
IREDUHIGHST2_8,"1.22 (0.78, 1.91)",0.39018177844162527
IRWRKSTAT18_4.0,"1.18 (1.06, 1.32)",0.0030419089195568945
IRMARIT_Missing,"1.12 (0.76, 1.65)",0.560719562691124
IRWRKSTAT18_2.0,"1.11 (0.97, 1.28)",0.13274902918828407
KSSLR6YR,"1.08 (1.06, 1.09)",2.0489656112936716e-30
IREDUHIGHST2_9,"1.03 (0.66, 1.63)",0.8884793313508161
IRSEX_2,"0.98 (0.90, 1.06)",0.5909898361564296
INCOME_3,"0.88 (0.71, 1.09)",0.2500920427914849
IREDUHIGHST2_10,"0.85 (0.53, 1.36)",0.4907293428680265
INCOME_2,"0.84 (0.72, 0.98)",0.02911518774783061
NEWRACE2_7,"0.82 (0.73, 0.92)",0.000859997037173418
IRWRKSTAT18_Missing,"0.80 (0.62, 1.01)",0.06343932514700303
IREDUHIGHST2_11,"0.77 (0.49, 1.22)",0.27097426790445345
NEWRACE2_6,"0.76 (0.59, 0.99)",0.04120178019378865
INCOME_4,"0.76 (0.61, 0.94)",0.012539359497830882
POVERTY3_2.0,"0.75 (0.64, 0.88)",0.00033495124121446566
POVERTY3_3.0,"0.67 (0.55, 0.81)",6.428259233948563e-05
NEWRACE2_5,"0.65 (0.51, 0.83)",0.000401626430100057
NEWRACE2_2,"0.62 (0.54, 0.72)",8.847424701006439e-11
POVERTY3_Missing,"0.38 (0.00, 74.05)",0.7203072666704253
const,"0.01 (0.01, 0.01)",1.6395857236073948e-78
